pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
130.0,Canton,1924,0.03898071625344353,2.0,4.0,1698.0,0,0.0,0,Two,0,0,0,SINGLE_FAMILY,Cherokee County
132.0,Canton,2003,3779.0,4.0,5.0,3779.0,1,2.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Cherokee County
156.0,Canton,1997,3460.0,4.0,4.0,3460.0,1,2.0,1,Two,1,1,0,SINGLE_FAMILY,Cherokee County
166.0,Canton,2003,2343.0,3.0,4.0,2343.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
145.0,Canton,1973,1923.0,2.0,3.0,1923.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
158.0,Canton,2002,3328.0,4.0,4.0,3328.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
178.0,Canton,2018,0.05165289256198347,3.0,4.0,2250.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
164.0,Canton,2005,0.044168962350780536,3.0,4.0,1924.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
178.0,Canton,2010,0.03604224058769513,3.0,3.0,1570.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
193.0,Canton,2006,0.04745179063360882,2.0,3.0,2067.0,1,2.0,1,One,0,0,0,SINGLE_FAMILY,Cherokee County
191.0,Canton,2001,0.023966942148760332,2.0,2.0,1044.0,1,1.0,1,Two,0,0,0,TOWNHOUSE,Cherokee County
173.0,Canton,2002,0.04180440771349862,3.0,3.0,1821.0,1,2.0,1,One and One Half,0,0,0,SINGLE_FAMILY,Cherokee County
130.0,Canton,2004,4060.0,4.0,5.0,4060.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Cherokee County
171.0,Canton,2021,0.05922865013774105,3.0,3.0,2580.0,1,2.0,1,One and One Half,0,0,1,SINGLE_FAMILY,Cherokee County
173.0,Canton,2018,0.05578512396694215,3.0,3.0,2430.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
153.0,Canton,2006,4577.0,5.0,6.0,4577.0,1,3.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Cherokee County
198.0,Canton,2015,2600.0,3.0,4.0,2600.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Cherokee County
170.0,Canton,1999,2293.0,3.0,4.0,2293.0,1,2.0,1,One and One Half,0,0,0,SINGLE_FAMILY,Cherokee County
