price,pricePerSquareFoot,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,buildingArea,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
255000.0,186.0,Alpharetta,1997,0.03145087235996327,3.0,3.0,1370.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
929000.0,154.0,Alpharetta,2006,6022.0,6.0,5.0,6022.0,1,3.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Fulton County
1109995.0,263.0,Alpharetta,2021,0.09687786960514233,5.0,5.0,0.0,1,0.0,0,0,0,0,1,SINGLE_FAMILY,Fulton County
483000.0,224.0,Alpharetta,1992,0.049494949494949494,3.0,4.0,2156.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
479000.0,259.0,Alpharetta,1991,1846.0,4.0,6.0,1846.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
775000.0,156.0,Alpharetta,2002,4981.0,5.0,5.0,4981.0,1,2.0,1,Three Or More,1,1,0,SINGLE_FAMILY,Forsyth County
460000.0,177.0,Alpharetta,1999,2600.0,3.0,4.0,2600.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
850000.0,176.0,Alpharetta,2000,4821.0,5.0,6.0,4821.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
610000.0,206.0,Alpharetta,1993,2962.0,4.0,5.0,2962.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
415000.0,192.0,Alpharetta,2012,0.049724517906336085,3.0,3.0,2166.0,1,2.0,1,Two,0,0,0,TOWNHOUSE,Forsyth County
429900.0,200.0,Alpharetta,1986,2145.0,4.0,3.0,2145.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
1399900.0,200.0,Alpharetta,2006,7000.0,7.0,6.0,7000.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
2200000.0,297.0,Alpharetta,2006,7400.0,7.0,5.0,7400.0,1,3.0,1,Two,1,1,0,SINGLE_FAMILY,Fulton County
417900.0,180.0,Alpharetta,2021,0.05337465564738292,3.0,3.0,0.0,0,0.0,0,0,0,0,1,TOWNHOUSE,Forsyth County
287000.0,176.0,Alpharetta,2006,0.03746556473829201,3.0,2.0,1632.0,1,1.0,1,Two,0,0,0,TOWNHOUSE,Forsyth County
200000.0,155.0,Alpharetta,1985,0.029614325068870524,2.0,2.0,1290.0,1,0.0,0,One,0,0,0,CONDO,Fulton County
315000.0,230.0,Alpharetta,2001,0.03145087235996327,3.0,3.0,1370.0,1,0.0,0,Two,0,0,0,TOWNHOUSE,Fulton County
1225000.0,172.0,Alpharetta,2000,7117.0,7.0,6.0,7117.0,1,3.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Fulton County
575000.0,177.0,Alpharetta,1986,3256.0,4.0,4.0,3256.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
689000.0,225.0,Alpharetta,1993,3066.0,5.0,6.0,3066.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
675000.0,164.0,Alpharetta,2016,0.0945821854912764,4.0,5.0,4120.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Forsyth County
650000.0,178.0,Alpharetta,2013,0.08381542699724517,5.0,4.0,3651.0,1,2.0,1,Three Or More,0,1,0,SINGLE_FAMILY,Forsyth County
550000.0,211.0,Alpharetta,2014,0.05991735537190083,4.0,4.0,2610.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Forsyth County
852475.0,295.0,Alpharetta,2021,0.0663682277318641,4.0,3.0,2891.0,1,2.0,1,Two,0,0,1,SINGLE_FAMILY,Forsyth County
688900.0,169.0,Alpharetta,2010,4070.0,4.0,5.0,4070.0,1,2.0,1,Two,0,1,0,SINGLE_FAMILY,Forsyth County
590000.0,196.0,Alpharetta,2013,0.06914600550964187,5.0,5.0,3012.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Forsyth County
505000.0,216.0,Alpharetta,1988,0.05371900826446281,3.0,4.0,2340.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
899000.0,203.0,Alpharetta,1995,4423.0,7.0,5.0,4423.0,1,3.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
539000.0,205.0,Alpharetta,2013,0.06023875114784206,4.0,4.0,2624.0,1,2.0,1,Three Or More,0,0,0,SINGLE_FAMILY,Forsyth County
980000.0,197.0,Alpharetta,1993,4977.0,5.0,4.0,4977.0,1,3.0,1,One and One Half,1,1,0,SINGLE_FAMILY,Fulton County
859900.0,230.0,Alpharetta,1999,3731.0,5.0,5.0,3731.0,1,3.0,1,Two,0,1,0,SINGLE_FAMILY,Fulton County
479000.0,259.0,Alpharetta,1991,1846.0,4.0,6.0,1846.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
850000.0,240.0,Alpharetta,2017,0.08124426078971533,5.0,3.0,3539.0,1,2.0,1,Three Or More,0,0,0,TOWNHOUSE,Fulton County
450000.0,169.0,Alpharetta,1990,2659.0,3.0,3.0,2659.0,1,2.0,1,Two,0,0,0,SINGLE_FAMILY,Fulton County
179901.0,119.0,Alto,1999,1512.0,2.0,3.0,1512.0,0,0.0,0,One,0,0,0,SINGLE_FAMILY,Habersham County
499000.0,119.0,Alto,2000,4176.0,3.0,4.0,4176.0,1,0.0,1,One,0,0,0,SINGLE_FAMILY,Banks County
300000.0,278.0,Alto,1955,1080.0,1.0,2.0,1080.0,1,0.0,0,One,0,0,0,SINGLE_FAMILY,Habersham County
390000.0,104.0,Alto,2006,3760.0,3.0,6.0,3760.0,0,0.0,0,One and One Half,0,0,0,SINGLE_FAMILY,Banks County
6000000.0,507.0,Alto,2007,11828.0,0.0,4.0,11828.0,1,3.0,1,Two,1,0,0,SINGLE_FAMILY,Banks County
119900.0,94.0,Americus,1969,1274.0,2.0,3.0,0.0,0,0.0,0,0,0,0,0,SINGLE_FAMILY,Sumter County
